2.635543206408459017e-06,5.409006355864086628e-12,-3.447989397805306666e-02
2.286264741107715835e-06,4.809580528114436071e-12,-4.676634196810147692e-02
1.977854159156074706e-06,4.275548734626328478e-12,-5.741064320625120093e-02
1.705612569208533780e-06,3.799882291572058562e-12,-6.660515510155752550e-02
1.465372948783367514e-06,3.376298457732722641e-12,-7.452009647640731038e-02
1.253440756101876645e-06,2.999182095039212226e-12,-8.130605555065510692e-02
1.066541096327039075e-06,2.663515492042907190e-12,-8.709621768664020658e-02
9.017717258799973701e-07,2.364815493236794245e-12,-9.200834384206303673e-02
7.565612561688849723e-07,2.099077192281439549e-12,-9.614652729392411667e-02
6.286319873572995602e-07,1.862723496342870494e-12,-9.960275317990116561e-02
5.159668646237468966e-07,1.652559962589756323e-12,-1.024582827142141994e-01
4.167801045205989006e-07,1.465734353222919771e-12,-1.047848815377523807e-01
3.294910882456532102e-07,1.299700426984183791e-12,-1.066459095256570844e-01
2.527011625311779209e-07,1.152185519459149652e-12,-1.080972874714479642e-01
1.851730280035307333e-07,1.021161524396930539e-12,-1.091883543700158388e-01
1.258124297820581183e-07,9.048189213676219923e-13,-1.099626275100315659e-01
7.365189622251810622e-08,8.015435285090106755e-13,-1.104584762395097730e-01
2.783629947518353583e-08,7.098957039234161719e-13,-1.107097190685043531e-01
-1.238996371618090227e-08,6.285917342696137790e-13,-1.107461527043460542e-01
-4.769435047813121504e-08,5.564871851665075146e-13,-1.105940206632037154e-01
-7.866626936257617953e-08,4.925620084574064081e-13,-1.102764282543488294e-01
-1.058260392846721101e-07,4.359072229701825056e-13,-1.098137099790486432e-01
-1.296328365046476129e-07,3.857130029785568675e-13,-1.092237547143852239e-01
-1.504917423855951649e-07,3.412580286245758164e-13,-1.085222934544723822e-01
-1.687599922475143111e-07,3.018999648208276064e-13,-1.077231538495210805e-01
-1.847525145793181760e-07,2.670669512637476459e-13,-1.068384853097700676e-01
-1.987468400189312672e-07,2.362499964532517120e-13,-1.058789580201007774e-01
-2.109874507363738629e-07,2.089961816976305605e-13,-1.048539388364601865e-01
-2.216896330389129722e-07,1.849025890089453867e-13,-1.037716467019615674e-01
-2.310428890574269882e-07,1.636108773941625519e-13,-1.026392899241701240e-01
-2.392139571756714999e-07,1.448024385755636467e-13,-1.014631873915846638e-01
-2.463494853466875316e-07,1.281940713195137965e-13,-1.002488755730667758e-01
-2.525783965292688621e-07,1.135341195831037352e-13,-9.900120293577878428e-02
-2.580139811057790699e-07,1.005990251184422653e-13,-9.772441323215486086e-02
-2.627557472527056980e-07,8.919025096203598247e-14,-9.642221894204924815e-02
-2.668910567737315056e-07,7.913153616911704918e-14,-9.509786601015962626e-02
-2.704965708259300134e-07,7.026644687166424793e-14,-9.375419088913079790e-02
-2.736395272304309577e-07,6.245619191437943287e-14,-9.239367078357046958e-02
-2.763788686230228160e-07,5.557767497687481117e-14,-9.101846788795721344e-02
-2.787662385339447009e-07,4.952175806742564457e-14,-8.963046832067277092e-02
-2.808468605604113133e-07,4.419171354176654645e-14,-8.823131637584324949e-02
-2.826603140835529102e-07,3.950184478186927976e-14,-8.682244464322923239e-02
-2.842412184601653995e-07,3.537625722355468138e-14,-8.540510048301591661e-02
-2.856198362678551377e-07,3.174776372061956101e-14,-8.398036928615780494e-02
-2.868226049812141294e-07,2.855690974872485019e-14,-8.254919490109079161e-02
-2.878726053900507539e-07,2.575110562747792536e-14,-8.111239756346369512e-02
-2.887899741233787055e-07,2.328385407125299978e-14,-7.967068962639817231e-02
-2.895922668019225157e-07,2.111406293507359682e-14,-7.822468935411021340e-02
-2.902947775953566994e-07,1.920543381252118789e-14,-7.677493301101896706e-02
-2.909108202979560275e-07,1.752591830426021031e-14,-7.532188545127439794e-02
-2.914519754485713344e-07,1.604723462472760021e-14,-7.386594938956786427e-02
-2.919283074993726619e-07,1.474443793606103587e-14,-7.240747351278674360e-02
-2.923485555754065739e-07,1.359553858385915044e-14,-7.094675957323419435e-02
-2.927203009570302005e-07,1.258116298449842307e-14,-6.948406858746987436e-02
-2.930501140538550796e-07,1.168425249667386743e-14,-6.801962625009105867e-02
-2.933436833168176103e-07,1.088979610785334409e-14,-6.655362765875717790e-02
-2.936059282496519951e-07,1.018459321704111873e-14,-6.508624143524832650e-02
-2.938410984283952795e-07,9.557043204606986933e-15,-6.361761331719414936e-02
-2.940528602137764130e-07,8.996958811373977558e-15,-6.214786928613074551e-02
-2.942443726433210970e-07,8.495400713557161397e-15,-6.067711828962691484e-02
-2.944183538147342241e-07,8.044530922770120980e-15,-5.920545460823489758e-02
-2.945771389170830772e-07,7.637482932807994444e-15,-5.773295991185495996e-02
-2.947227309292202743e-07,7.268246729112407156e-15,-5.625970504467662364e-02
-2.948568448836295561e-07,6.931567015976544805e-15,-5.478575157306153631e-02
-2.949809464868000543e-07,6.622853166531451321e-15,-5.331115312652758703e-02
-2.950962857925559297e-07,6.338099585229976876e-15,-5.183595655826857274e-02
-2.952039265411959758e-07,6.073815313792757063e-15,-5.036020294838263606e-02
-2.953047717035111547e-07,5.826961820767637385e-15,-4.888392847010311626e-02
-2.953995857036162815e-07,5.594898067789878191e-15,-4.740716513679679028e-02
-2.954890137370763982e-07,5.375332010263452084e-15,-4.592994144527196010e-02
-2.955735985501703137e-07,5.166277805517482111e-15,-4.445228292898636274e-02
-2.956537950014409941e-07,4.966018077940038577e-15,-4.297421263302741296e-02
-2.957299826873634807e-07,4.773070655803273348e-15,-4.149575152123450433e-02
-2.958024768792950263e-07,4.586159271852019487e-15,-4.001691882451152010e-02
